City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
28,punta arenas,-53.15,-70.92,46.4,61,0,26.4,CL,1605495134
29,mataura,-46.19,168.86,59.0,79,55,18.01,NZ,1605495134
30,atuona,-9.8,-139.03,77.99,76,53,14.72,PF,1605495134
31,yumen,40.28,97.2,37.98,62,95,16.84,CN,1605495134
32,bandar-e lengeh,26.56,54.88,71.6,37,0,6.93,IR,1605495134
33,batemans bay,-35.72,150.18,91.0,50,93,7.0,AU,1605495134
34,nikolskoye,59.7,30.79,32.0,95,90,11.18,RU,1605495135
35,chokurdakh,70.63,147.92,-22.25,89,64,2.98,RU,1605495136
36,hermanus,-34.42,19.23,54.0,84,58,1.01,ZA,1605495136
37,rikitea,-23.12,-134.97,76.28,77,31,6.67,PF,1605495136
38,opuwo,-18.06,13.84,69.46,48,66,2.98,NA,1605495136
39,busselton,-33.65,115.33,64.99,70,62,5.01,AU,1605495136
40,port alfred,-33.59,26.89,65.52,89,100,11.45,ZA,1605495136
41,necochea,-38.55,-58.74,46.0,88,0,5.01,AR,1605495136
42,lebu,-37.62,-73.65,51.28,83,0,19.26,CL,1605495136
43,pathein,16.78,94.73,81.0,74,0,9.44,MM,1605495136
44,kununurra,-15.77,128.73,96.8,44,40,8.05,AU,1605495137
45,mount gambier,-37.83,140.77,62.6,51,75,21.92,AU,1605495067
46,revda,56.8,59.93,5.0,92,0,6.71,RU,1605495137
47,puerto ayora,-0.74,-90.35,70.0,87,100,5.01,EC,1605495137
48,codrington,-38.27,141.97,61.79,58,0,24.67,AU,1605495137
49,kiunga,-6.12,141.29,92.03,53,100,3.91,PG,1605495137
50,teguise,29.06,-13.56,69.8,40,0,3.36,ES,1605495138
51,jamestown,42.1,-79.24,39.99,64,90,23.04,US,1605495138
52,marsh harbour,26.54,-77.06,77.77,77,1,11.12,BS,1605495138
53,saint-augustin,51.23,-58.65,30.43,90,0,5.01,CA,1605495138
54,ndola,-12.96,28.64,62.49,92,99,1.43,ZM,1605495138
55,candolim,15.52,73.76,80.6,74,40,8.05,IN,1605495138
56,oga,46.46,10.35,39.99,74,90,1.12,IT,1605495138
57,black river,18.03,-77.85,80.6,83,40,9.17,JM,1605495138
58,ereymentau,51.62,73.1,17.31,97,100,3.47,KZ,1605495139
59,stillwater,36.12,-97.06,46.4,39,1,7.2,US,1605495139
60,beruwala,6.48,79.98,76.3,94,100,12.15,LK,1605495139
61,comodoro rivadavia,-45.87,-67.5,66.2,39,0,10.29,AR,1605494924
62,diffa,13.32,12.61,70.59,40,0,10.13,NE,1605495139
63,vardo,70.37,31.11,44.17,88,86,24.7,NO,1605495139
64,eyl,7.98,49.82,74.7,67,83,11.14,SO,1605495139
65,albany,42.6,-73.97,52.0,65,100,7.23,US,1605495003
66,amahai,-3.33,128.92,85.66,69,40,5.61,ID,1605495140
67,wuwei,37.93,102.64,47.34,50,92,6.4,CN,1605495140
68,okato,-39.2,173.88,63.0,79,58,10.0,NZ,1605495140
69,tuktoyaktuk,69.45,-133.04,10.4,78,90,20.8,CA,1605495140
70,airai,-8.93,125.41,82.15,37,17,6.6,TL,1605495140
71,chimbote,-9.09,-78.58,62.29,90,98,7.4,PE,1605495140
72,argelia,2.26,-77.25,65.84,79,100,1.83,CO,1605495140
73,nanortalik,60.14,-45.24,26.64,84,0,7.05,GL,1605495140
74,naryan-mar,67.67,53.09,32.27,97,100,16.78,RU,1605495140
75,alberton,46.82,-64.07,37.4,74,100,10.29,CA,1605495141
76,ballina,-28.87,153.57,93.0,74,0,17.22,AU,1605495141
77,olafsvik,64.89,-23.71,36.97,79,100,16.78,IS,1605495141
78,faanui,-16.48,-151.75,80.4,76,99,8.63,PF,1605495141
79,erenhot,43.65,111.98,47.44,56,0,9.84,CN,1605494843
80,carnarvon,-24.87,113.63,86.0,17,0,12.75,AU,1605495141
81,egvekinot,66.32,-179.17,29.07,99,100,16.55,RU,1605495141
82,warah,27.45,67.8,63.61,23,0,8.01,PK,1605495141
83,amapa,1.0,-52.0,73.44,97,100,2.55,BR,1605495141
84,bredasdorp,-34.53,20.04,48.2,81,29,1.12,ZA,1605495141
85,dicabisagan,17.08,122.42,84.85,69,19,5.86,PH,1605495141
86,alamosa,37.47,-105.87,30.2,42,1,6.93,US,1605495142
87,cap malheureux,-19.98,57.61,73.0,53,0,7.0,MU,1605495142
88,kautokeino,69.01,23.04,37.49,89,100,21.09,NO,1605495142
89,stromness,58.97,-3.3,48.2,93,100,13.87,GB,1605495142
90,kaka,37.35,59.61,40.35,62,11,5.08,TM,1605495142
91,belaya gora,68.53,146.42,-15.5,89,99,5.12,RU,1605495142
92,ponta do sol,32.67,-17.1,69.8,94,75,17.22,PT,1605495142
93,hobart,-42.88,147.33,66.99,77,40,5.82,AU,1605495139
94,komarichi,52.42,34.79,28.35,98,99,9.98,RU,1605495143
95,tabuk,17.42,121.44,83.1,72,35,3.8,PH,1605495143
96,vila franca do campo,37.72,-25.43,62.6,82,75,10.29,PT,1605495143
97,upernavik,72.79,-56.15,19.4,86,100,15.03,GL,1605495143
98,lamu,-2.27,40.9,80.6,83,90,11.72,KE,1605495143
99,lagos,6.58,3.75,77.0,100,20,5.82,NG,1605495124
100,fairbanks,64.84,-147.72,1.0,84,75,3.36,US,1605495066
101,chuy,-33.7,-53.46,61.45,92,24,7.52,UY,1605495143
102,ipixuna,-1.76,-48.8,77.0,94,0,8.05,BR,1605495143
103,pacific grove,36.62,-121.92,55.99,54,1,3.36,US,1605495076
104,otofuke,42.99,143.2,57.2,50,20,9.17,JP,1605495144
105,sorong,-0.88,131.25,84.07,73,100,4.81,ID,1605495144
106,butaritari,3.07,172.79,81.77,72,81,11.65,KI,1605495144
107,tiksi,71.69,128.87,-8.34,90,46,7.2,RU,1605495144
108,mahebourg,-20.41,57.7,71.6,60,40,8.05,MU,1605495144
109,ribeira grande,38.52,-28.7,65.53,89,14,15.99,PT,1605495144
110,laguna,38.42,-121.42,59.0,67,1,4.07,US,1605495144
111,nizwa,22.93,57.53,65.91,73,0,0.63,OM,1605495000
112,puerto escondido,15.85,-97.07,82.4,69,40,3.36,MX,1605495144
113,zhigansk,66.77,123.37,-9.09,89,77,4.18,RU,1605495144
114,lata,40.16,-8.33,60.01,90,99,0.89,PT,1605495145
115,pevek,69.7,170.31,5.32,95,95,7.63,RU,1605495145
116,the pas,53.83,-101.25,14.0,72,90,8.05,CA,1605495145
117,bluff,-46.6,168.33,59.0,79,14,18.01,NZ,1605495145
118,maceio,-9.67,-35.74,75.2,94,40,2.24,BR,1605495145
119,victoria,22.29,114.16,81.0,67,5,14.0,HK,1605495145
